*UNIQUE-ID,ACCESSION-1,NAME,SYNONYMS,PRODUCT-NAME,SWISS-PROT-ID,START-BASE,END-BASE,DIRECTION,GENE-TYPE,TU-COLOR,TU,Promoters,Sigma,Regulator_activate,Regulator_inhibit
EG10489,b1136,icd,"icdE,icdA",isocitrate dehydrogenase,P08200,1195123,1196373,+,P,7.0,"['TU00425', 'TU00107']","[['PM00575', 'PM00575'], ['PM00149', 'PM00149', 'PM00149']]","['RPOD-MONOMER', None, 'RPOD-MONOMER', None, None]","['Cra', None]","[None, 'ArcA-Pasp54']"
EG30080,b3275,rrlD,,23S ribosomal RNA,,3423880,3426783,-,R,11.0,"['TU0-45227', 'TU0-1192', 'TU0-1191']","[['PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-46525'], ['PM0-1352', 'PM0-1352'], ['PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-46525', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351', 'PM0-1351']]","['RPOH-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, 'RPOH-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None]","['Fis', None, 'Fis']","['Lrp-leu, H-NS, ppGpp, DksA, DksA-ppGpp', 'NhaR-Na+', 'NhaR-Na+, DksA-ppGpp, DksA, ppGpp']"
EG10521,b0047,kefC,trkC,K<sup>+</sup> : H<sup>+</sup> antiporter KefC,P03819,47769,49631,+,P,4.0,['TU0-12800'],[[]],[],[None],[None]
G6245,b0444,queC,ybaX,7-cyano-7-deazaguanine synthase,P77756,464852,465547,-,P,3.0,['TU0-12933'],[[]],[],[None],[None]
EG30050,b3174,leuU,,tRNA-Leu(GAG),,3322072,3322158,-,R,5.0,"['TU0-14574', 'TU0-14573', 'TU00518']","[['PM0-9881'], ['PM0-9880'], ['PM00673']]","['RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER']","[None, None, None]","[None, None, None]"
G7742,b3399,yrfG,,purine nucleotidase,P64636,3528669,3529337,+,P,11.0,['TU0-13929'],[['PM0-9852']],['RPOH-MONOMER'],[None],[None]
EG12009,b2128,yehW,,glycine betaine ABC transporter membrane subunit YehW,P33359,2215745,2216476,-,P,4.0,"['TU0-14559', 'TU0-5341']","[['PM0-9860'], ['PM0-5581']]","['RPOH-MONOMER', 'RPOS-MONOMER']","[None, 'ppGpp']","[None, None]"
G358,b1073,flgB,flbA,flagellar basal-body rod protein FlgB,P0ABW9,1131018,1131434,+,P,10.0,['TU00273'],"[['PM-8783', 'PM-8783']]","['RPOD-MONOMER', None]",['FlhDC'],[None]
G6745,b1434,sutR,ydcN,DNA-binding transcriptional dual regulator SutR,P77626,1506172,1506708,+,P,2.0,['TU0-13264'],"[['PM0-46335', 'PM0-46335', 'PM0-46335']]","['RPOD-MONOMER', None, None]",['SutR'],['SutR']
EG12291,b3587,yiaW,,DUF3302 domain-containing protein YiaW,P0ADK4,3754105,3754428,-,P,2.0,['TU0-13986'],[[]],[],['YiaU'],[None]
G7059,b1971,msrP,yedY,protein-L-methionine sulfoxide reductase catalytic subunit MsrP,P76342,2039478,2040482,+,P,5.0,"['TU0-13468', 'TU0-13469']","[['PM0-45171', 'PM0-45171', 'PM0-45171', 'PM0-45171'], []]","['RPOD-MONOMER', None, None, None]","['HprR-P, CusR-Pasp, PhoB-Pasp53', None]","[None, None]"
G7598,b3079,ygjJ,,protein YgjJ,P42591,3227801,3228871,+,P,7.0,['TU0-13852'],[[]],[],[None],[None]
EG11328,b2525,fdx,,oxidized ferredoxin,,2656748,2657083,-,P,6.0,['TU00423'],[['PM00573']],['RPOD-MONOMER'],[None],[None]
G0-17078,b4805,raiZ,,small RNA RaiZ,,2737381,2737542,+,R,11.0,['TU0-13677'],"[['PM0-9839', 'PM0-9839']]","['RPOH-MONOMER', None]",['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],[None]
G0-10597,b4607,ryfB,shoB,,,2700059,2700377,-,H,,[],[],[],['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],[None]
EG10098,b3734,atpA,"papA,uncA",ATP synthase F<sub>1</sub> complex subunit &alpha;,P0ABB0,3918316,3919857,-,P,7.0,"['TU0-6636', 'TU0-6635', 'TU00243']","[['PM00471'], ['PM00472'], ['PM00473']]","[None, None, 'RPOD-MONOMER']","[None, None, None]","[None, None, None]"
EG11323,b2909,ygfB,,PF03695 family protein YgfB,P0A8C4,3054866,3055444,-,P,5.0,['TU0-13792'],[['PM0-46275']],['RPOD-MONOMER'],[None],[None]
G0-10434,b4506,ykgO,,50S ribosomal subunit protein L36B,Q2EEQ2,312374,312514,-,P,8.0,['TU0-12881'],"[['PM0-9892', 'PM0-9892']]","['RPOD-MONOMER', None]",[None],['DNA-binding transcriptional repressor Zur']
G7098,b2047,wcaJ,,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,P71241,2120160,2121554,-,P,6.0,['TU0-13499'],[[]],[],[None],[None]
G7472,b2852,ygeH,,putative transcriptional regulator YgeH,P76639,2992094,2993470,+,P,2.0,['TU0-13763'],"[['PM0-45513', 'PM0-45513']]","['RPOD-MONOMER', None]",['DNA-binding transcriptional dual regulator CysB'],[None]
EG11401,b0384,psiF,,phosphate starvation-inducible protein PsiF,P0AFM4,403281,403601,+,P,1.0,"['TU0-44195', 'TU00052']","[['PM0-46418'], ['PM00071', 'PM00071']]","['RPOD-MONOMER', 'RPOD-MONOMER', None]","[None, 'PhoB-Pasp53']","[None, None]"
EG10196,b0526,cysS,syc,cysteine&mdash;tRNA ligase,P21888,554611,555996,+,P,2.0,['TU0-8477'],[['PM0-8913']],[None],[None],[None]
G7856,b4193,ulaA,"yjfS,sgaT",L-ascorbate specific PTS enzyme IIC component,P39301,4419980,4421377,+,P,11.0,['TU0-5162'],"[['PM0-5402', 'PM0-5402', 'PM0-5402', 'PM0-5402', 'PM0-5402']]","['RPOD-MONOMER', None, None, None, None]",['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],"['UlaR, IHF']"
EG12739,b3094,exuR,,DNA-binding transcriptional repressor ExuR,P0ACL2,3246652,3247428,+,P,8.0,['TU0-42612'],"[['PM0-46365', 'PM0-46365', 'PM0-46365', 'PM0-46365', 'PM0-46365']]","['RPOD-MONOMER', None, None, None, None]",[None],"['CRP-cyclic-AMP DNA-binding transcriptional dual regulator, UxuR, ExuR']"
G7231,b2362,yfdS,,CPS-53 (KpLE1) prophage; protein YfdS,P76515,2475511,2475873,+,P,1.0,['TU0-13605'],[[]],[],[None],[None]
G0-8865,b4432,ryeA,"sraC,psrA8,tkpe79,IS091",small antisense RNA RyeA,,1923066,1923337,+,R,1.0,['TU0-8508'],[['PM0-9597']],['RPOD-MONOMER'],[None],[None]
EG11845,b3880,yihS,squS,sulfoquinovose isomerase,P32140,4070515,4071756,-,P,9.0,"['TU0-42690', 'TU0-42689', 'TU0-42688', 'TU0-42686', 'TU0-14068']","[['PM0-46404', 'PM0-46404'], ['PM0-46403'], ['PM0-46399'], ['PM0-46398'], ['PM0-46397']]","['RPOD-MONOMER', None, 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER']","[None, None, None, None, None]","['CsqR', None, None, None, None]"
G7854,b4191,ulaR,yjfQ,DNA-binding transcriptional repressor UlaR,P0A9W0,4417698,4418453,-,P,9.0,['TU0-14157'],[[]],[],[None],[None]
EG11576,b0072,leuC,,3-isopropylmalate dehydratase subunit LeuC,P0A6A6,79464,80864,-,P,5.0,"['TU0-42478', 'TU00179']","[['PM0-46180'], ['PM00250', 'PM00250', 'PM00250']]","[None, 'RPOD-MONOMER', None, None]","[None, 'ppGpp, LeuO']","[None, None]"
EG10173,b0733,cydA,cyd-1,cytochrome <i>bd</i>-I subunit 1,P0ABJ9,771458,773026,+,P,9.0,"['TU0-3163', 'TU0-3162', 'TU0-3161', 'TU358', 'TU00100']","[['PM0-3343', 'PM0-3343', 'PM0-3343'], ['PM0-3342', 'PM0-3342', 'PM0-3342', 'PM0-3342', 'PM0-3341', 'PM0-3341', 'PM0-3341', 'PM0-3341', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM439', 'PM439', 'PM439', 'PM439', 'PM0-3342'], ['PM0-3341', 'PM0-3341', 'PM0-3341', 'PM0-3341', 'PM0-3342', 'PM0-3342', 'PM0-3342', 'PM0-3342', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM439', 'PM439', 'PM439', 'PM439', 'PM0-3341'], ['PM439', 'PM439', 'PM439', 'PM439', 'PM0-3342', 'PM0-3342', 'PM0-3342', 'PM0-3342', 'PM0-3341', 'PM0-3341', 'PM0-3341', 'PM0-3341', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM439'], ['PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM00141', 'PM0-3342', 'PM0-3342', 'PM0-3342', 'PM0-3342', 'PM0-3341', 'PM0-3341', 'PM0-3341', 'PM0-3341', 'PM439', 'PM439', 'PM439', 'PM439', 'PM00141']]","['RPOD-MONOMER', None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, None]","['Cra', 'ArcA-Pasp54', 'ArcA-Pasp54', 'ArcA-Pasp54, Fnr', 'HypT-[Met-oxidized], ArcA-Pasp54']","[None, 'H-NS, Fnr', 'H-NS, Fnr', 'Fnr, H-NS', 'Fnr, H-NS']"
G6921,b1698,ydiR,,putative electron transfer flavoprotein subunit YdiR,P77378,1780401,1781339,+,P,5.0,['TU0-5322'],[[]],[],[None],[None]
EG10387,b3869,glnL,"glnR,ntrB",protein histidine kinase NtrB,P0AFB5,4055290,4056339,-,P,1.0,"['TU00029', 'TU00028', 'TU00027']","[['PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00034', 'PM00034', 'PM00034', 'PM00034', 'PM00034', 'PM00034', 'PM00312'], ['PM00035', 'PM00035'], ['PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00312', 'PM00034', 'PM00034', 'PM00034', 'PM00034', 'PM00034', 'PM00034', 'PM00034']]","['RPON-MONOMER', None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, 'RPOD-MONOMER', None, 'RPON-MONOMER', None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None]","['Fis, NtrC-Pasp', None, 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","['CRP-cyclic-AMP DNA-binding transcriptional dual regulator', 'NtrC phosphorylated dimer', 'NtrC-Pasp']"
G7077,b1997,insC3,yi21-3,CP4-44 prophage; IS2 insertion element repressor InsA,P0CF42,2069815,2070180,-,P,3.0,['TU0-13480'],[[]],[],[None],[None]
G0-10443,b4518,ymdF,,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,P56614,1068081,1068254,+,P,3.0,['TU0-14245'],[[]],[],[None],[None]
EG12214,b3468,yhhN,,PF07947 family protein YhhN,P0ADI9,3605751,3606377,+,P,5.0,['TU0-13943'],[[]],[],[None],[None]
G7776,b3557,insJ,yi5A,insertion element IS150 protein InsA,P19768,3720680,3721201,+,P,7.0,['TU0-14385'],[[]],[],[None],[None]
G6434,b0834,dgcI,yliF,putative diguanylate cyclase DgcI,P75801,875335,876663,+,P,4.0,['TU0-13064'],[[]],[],[None],['CsrA']
G6472,b0917,ycaR,,PF03966 family protein YcaR,P0AAZ7,970673,970855,+,P,3.0,['TU0-13088'],[['PM0-9538']],['RPOD-MONOMER'],[None],[None]
G7683,b3238,yhcN,,DUF1471 domain-containing stress-induced protein YhcN,P64614,3385538,3385801,+,P,4.0,['TU0-13899'],[[]],[],[None],[None]
G7316,b2505,yfgH,,lipoprotein YfgH,P65290,2629792,2630310,+,P,2.0,['TU0-13648'],[[]],[],[None],[None]
G7193,b2301,yfcF,,glutathione <i>S</i>-transferase YfcF,P77544,2419841,2420485,-,P,4.0,['TU0-13587'],[[]],[],[None],[None]
G6751,b1440,ydcS,,putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase,P76108,1511654,1512799,+,P,7.0,['TU0-42535'],"[['PM0-46279', 'PM0-46279']]","['RPOS-MONOMER', None]",['Nac'],[None]
EG10271,b3006,exbB,,Ton complex subunit ExbB,P0ABU7,3151250,3151984,-,P,11.0,['TU00265'],"[['PM0-2741', 'PM0-2741', 'PM0-2741']]","['RPOD-MONOMER', None, None]",[None],['DNA-binding transcriptional dual regulator Fur']
EG12440,b4233,mpl,"tpl,yjfG","UDP-<i>N</i>-acetylmuramate&mdash;L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminoheptanedioate ligase",P37773,4455785,4457158,+,P,3.0,"['TU0-45213', 'TU0-964', 'TU0-963']","[['PM0-46513', 'PM0-46513', 'PM0-1123', 'PM0-1123', 'PM0-46513'], ['PM0-1124'], ['PM0-46513', 'PM0-46513', 'PM0-1123', 'PM0-1123', 'PM0-1123']]","['RPOS-MONOMER', None, 'RPOD-MONOMER', None, None, 'RPOD-MONOMER', 'RPOS-MONOMER', None, 'RPOD-MONOMER', None, None]","['CRP-cyclic-AMP DNA-binding transcriptional dual regulator', None, 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","['Cra', None, 'Cra']"
EG10270,b2566,era,"rbaA,sdgE",30S ribosomal subunit maturation GTPase Era,P06616,2702481,2703386,-,P,11.0,"['TU483', 'TU00332']","[['PM583'], ['PM583']]","['RPOD-MONOMER', 'RPOD-MONOMER']","[None, None]","[None, None]"
G6548,b1043,csgC,ycdE,curlin chaperone,P52107,1104961,1105293,+,P,10.0,"['TU0-45224', 'TU0-14514', 'TU00390']","[['PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM0-46522'], ['PM0-9794'], ['PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM0-46522', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535', 'PM00535']]","['RPOS-MONOMER', None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, 'RPOS-MONOMER', None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None]","['CsgD', None, 'CsgD']","['CpxR-phosphorylated, FliZ, phosphorylated DNA-binding transcriptional dual regulator BtsR', None, 'phosphorylated DNA-binding transcriptional dual regulator BtsR, FliZ, CpxR-phosphorylated']"
EG10067,b0273,argF,,CP4-6 prophage; ornithine carbamoyltransferase ArgF,P06960,289301,290305,-,P,3.0,['TU00005'],"[['PM00007', 'PM00007', 'PM00007']]","['RPOD-MONOMER', None, None]",[None],['ArgR-arg']
EG10768,b0242,proB,"pro(2),pro2",glutamate 5-kinase,P0A7B5,260388,261491,+,P,1.0,['TU00325'],[[]],[],[None],[None]
G6213,b0361,insD1,yi22-1,IS2 element protein,P0CF53,381674,382579,+,P,9.0,['TU0-12904'],[[]],[],[None],[None]
EG10457,b1237,hns,"B1,H1,virR,topX,topS,pilG,osmZ,msyA,irk,hnsA,bglY,cur,drc,drdX,drs,fimG",DNA-binding transcriptional dual regulator H-NS,P0ACF8,1292509,1292922,-,P,1.0,['TU00139'],"[['PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191', 'PM00191']]","['RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None, None]","['CspA, Fis, GadX']","['DsrA, ppGpp, H-NS']"
G6395,b0761,modE,"chlD,modR",DNA-binding transcriptional dual regulator ModE,P0A9G8,793856,794644,-,P,1.0,['TU0-13040'],[[]],[],[None],[None]
G7712,b3343,tusB,yheL,sulfurtransferase complex subunit TusB,P45530,3474678,3474965,-,P,8.0,"['TU0-14661', 'TU0-13915']","[['PM0-10142'], ['PM0-10141']]","[None, None]","[None, None]","[None, None]"
G6452,b0867,amiD,ybjR,<i>N</i>-acetylmuramoyl-L-alanine amidase D,P75820,904913,905743,+,P,3.0,['TU0-13073'],[['PM0-10000']],[None],[None],[None]
G6386,b0717,ybgP,,putative fimbrial chaperone YbgP,P75749,748979,749707,-,P,3.0,['TU0-13032'],[[]],[],[None],[None]
EG11779,b2960,trmB,"trmI,yggH",tRNA m<sup>7</sup>G46 methyltransferase,P0A8I5,3102133,3102852,-,P,6.0,['TU0-13809'],[[]],[],[None],[None]
G0-17030,b4784,yqgG,,protein YqgG,P0DSG2,3086145,3086288,-,P,,[],[],[],[None],[None]
G7121,b2084,b2084,,,,2167735,2168001,-,H,,[],[],[],[None],[None]
G0-16674,b4688,ykgS,,CP4-6 prophage; protein YkgS,P0DPM8,290510,290638,+,P,4.0,[],[],[],[None],[None]
G6772,b1471,yddK,,leucine-rich repeat domain-containing protein YddK,P76123,1544758,1545714,-,P,6.0,['TU0-13283'],[[]],[],[None],[None]
EG10492,b0026,ileS,ilvS,isoleucine&mdash;tRNA ligase,P00956,22391,25207,+,P,7.0,"['TU0-14465', 'TU0-14395', 'TU0-14394', 'TU00291']","[['PM0-9709'], ['PM0-9553'], ['PM0-9552'], ['PM0-8866']]","['RPOH-MONOMER', None, 'RPOD-MONOMER', 'RPOD-MONOMER']","[None, None, None, None]","[None, None, None, None]"
G6447,b0853,ybjN,,protein YbjN,P0AAY6,892957,893433,+,P,8.0,"['TU0-14516', 'TU0-2121', 'TU0-2101']","[['PM0-9796'], ['PM0-2301'], ['PM0-2281', 'PM0-2281', 'PM0-2281', 'PM0-2281', 'PM0-2281', 'PM0-2281', 'PM0-2281']]","[None, 'RPOD-MONOMER', 'RPOD-MONOMER', None, None, None, None, None, None]","[None, None, 'Rob, MarA, SoxS']","[None, None, 'OxyR']"
EG12414,b2094,gatA,,galactitol-specific PTS enzyme IIA component,P69828,2174597,2175049,-,P,5.0,"['TU0-14638', 'TU00169']","[['PM0-10078'], ['PM00232', 'PM00232', 'PM00232', 'PM00232']]","[None, 'RPOD-MONOMER', None, None, None]","[None, 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","[None, 'GatR, ArcA-Pasp54']"
EG11549,b1127,pepT,,peptidase T,P29745,1185844,1187070,+,P,11.0,['TU0-8490'],"[['PM0-8926', 'PM0-8926']]","[None, None]",['Fnr'],[None]
G6378,b0709,dtpD,ybgH,dipeptide:H<sup>+</sup> symporter DtpD,P75742,741075,742556,-,P,11.0,['TU0-8563'],[[]],[],[None],[None]
G6468,b0905,ycaO,,ribosomal protein S12 methylthiotransferase accessory factor YcaO,P75838,954872,956632,-,P,8.0,['TU0-13084'],[[]],[],[None],[None]
G7565,b3012,dkgA,yqhE,methylglyoxal reductase DkgA,Q46857,3156623,3157450,+,P,4.0,"['TU0-13823', 'TU0-13824']","[['PM0-36133', 'PM0-36133', 'PM0-36133'], ['PM0-10125']]","['RPOD-MONOMER', None, None, 'RPOS-MONOMER']","['DNA-binding transcriptional dual regulator Fur, YqhC', 'ppGpp']","[None, None]"
EG11202,b3812,yigB,,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,P0ADP0,3997183,3997899,+,P,7.0,['TU0-14042'],[['PM0-10344']],['RPOD-MONOMER'],[None],[None]
EG11659,b1928,yedD,,lipoprotein YedD,P31063,2007677,2008090,-,P,3.0,['TU0-8719'],[[]],[],[None],[None]
EG11491,b4044,dinF,,DNA damage-inducible protein F,P28303,4257742,4259121,+,P,7.0,['TU00037'],"[['PM00046', 'PM00046', 'PM00046']]","['RPOD-MONOMER', None, None]",[None],['LexA']
EG10702,b4025,pgi,,glucose-6-phosphate isomerase,P0A6T1,4233758,4235407,+,P,7.0,"['TU0-45260', 'TU0-6444']","[['PM0-46563', 'PM0-46563'], ['PM180', 'PM180']]","['RPOS-MONOMER', None, 'RPOD-MONOMER', None]","['SoxS', 'SoxS']","[None, None]"
EG12141,b1660,punC,ydhC,purine nucleoside transporter PunC,P37597,1739911,1741122,+,P,4.0,['TU0-13360'],[[]],[],[None],[None]
EG11250,b4224,chpS,"chpBI,yjfB",ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,P08365,4448447,4448698,+,P,10.0,"['TU0-1261', 'TU00250']","[['PM0-1422'], ['PM0-1421']]","['RPOD-MONOMER', 'RPOD-MONOMER']","[None, None]","[None, None]"
G6543,b1037,csgG,,curli secretion channel,P0AEA2,1100851,1101684,-,P,9.0,"['TU0-45257', 'TU0-45201', 'TU0-14429', 'TU00392']","[['PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM0-46559'], ['PM0-46501', 'PM0-46501', 'PM0-46501'], ['PM0-9649', 'PM0-9649', 'PM0-9649'], ['PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM0-46559', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536', 'PM00536']]","['RPOS-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'RPOS-MONOMER', None, None, 'RPOD-MONOMER', None, None, 'RPOS-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['BolA-phosphate, CRP-cyclic-AMP DNA-binding transcriptional dual regulator, OmpR-P, IHF, MlrA, CsgD, Cra, BasR-Pasp51, RcdA, ppGpp', None, None, 'RcdA, BasR-Pasp51, Cra, MlrA, IHF, OmpR-P, CsgD, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","['RybB, RprA, RydC, OmrB, McaS, GcvB, OmrA, RcsAB, RstA-Pasp52, CpxR-phosphorylated, FliZ, MqsA, H-NS, phosphorylated DNA-binding transcriptional dual regulator BtsR', 'RstA-Pasp52, FliZ', 'FliZ, RstA-Pasp52', 'RybB, RydC, GcvB, RprA, McaS, OmrB, OmrA, phosphorylated DNA-binding transcriptional dual regulator BtsR, H-NS, MqsA, FliZ, RstA-Pasp52, CpxR-phosphorylated, RcsAB']"
EG10993,b3616,tdh,,threonine dehydrogenase,P07913,3790320,3791345,-,P,9.0,['TU00225'],"[['PM00115', 'PM00115', 'PM00115']]","['RPOD-MONOMER', None, None]",['Lrp'],[None]
EG10146,b1888,cheA,,chemotaxis protein CheA,P07363-1,1973360,1975324,-,P,10.0,['TU00303'],"[['PM0-1701', 'PM0-1701']]","['EG11355-MONOMER', None]",[None],['CpxR-phosphorylated']
EG11786,b2581,yfiF,,putative methyltransferase YfiF,P0AGJ5,2717491,2718528,-,P,10.0,['TU0-8742'],[[]],[],['ArcA-Pasp54'],[None]
G6437,b0837,yliI,,aldose sugar dehydrogenase YliI,P75804,878742,879857,+,P,7.0,['TU0-13066'],[[]],[],[None],[None]
EG10257,b1851,edd,,phosphogluconate dehydratase,P0ADF6,1932793,1934604,-,P,10.0,['TU00227'],"[['PM00313', 'PM00313', 'PM00313', 'PM00313', 'PM00313']]","['RPOD-MONOMER', None, None, None, None]",[None],"['KdgR, GntR, Cra']"
