,genes_name,genes_id,product,locus_tag
2440,minC,EG10596,Z-ring positioning protein MinC,b1176
2441,ycgJ,G6614,,b1177
2442,ycgJ,G6614,PF05666 family protein YcgJ,b1177
2443,pliG,G6615,,b1178
2444,pliG,G6615,inhibitor of g-type lysozyme,b1178
2445,ymgN,G0-17091,,b4816
2446,ymgN,G0-17091,protein YmgN,b4816
2447,ycgL,G6616,,b1179
2448,ycgL,G6616,PF05166 family protein YcgL,b1179
2449,ycgM,G6617,,b1180
2450,ycgM,G6617,putative isomerase/hydrolase,b1180
2451,ycgN,G6618,,b1181
2452,ycgN,G6618,putative metal-chelating domain-containing protein YcgN,b1181
2453,hlyE,G6619,,b1182
2454,hlyE,G6619,hemolysin E,b1182
2455,umuD,EG11057,,b1183
2456,umuD,EG11057,DNA polymerase V protein UmuD,b1183
2457,umuC,EG11056,,b1184
2458,umuC,EG11056,DNA polymerase V catalytic protein,b1184
2459,dsbB,EG11393,,b1185
2460,dsbB,EG11393,protein thiol:quinone oxidoreductase DsbB,b1185
2461,nhaB,EG11392,,b1186
2462,nhaB,EG11392,Na(+):H(+) antiporter NhaB,b1186
2463,fadR,EG10281,,b1187
2464,fadR,EG10281,DNA-binding transcriptional dual regulator FadR,b1187
2465,ycgB,EG11516,,b1188
2466,ycgB,EG11516,PF04293 family protein YcgB,b1188
2467,dadA,EG11407,,b1189
2468,dadA,EG11407,D-amino acid dehydrogenase,b1189
2469,dadX,EG11408,,b1190
2470,dadX,EG11408,alanine racemase 2,b1190
2471,ymgM,G0-16735,,b4740
2472,ymgM,G0-16735,protein YmgM,b4740
2473,cvrA,G6620,,b1191
2474,cvrA,G6620,putative K(+):H(+) antiporter,b1191
2475,ldcA,G6621,,b1192
2476,ldcA,G6621,murein tetrapeptide carboxypeptidase,b1192
2477,emtA,G6622,,b1193
2478,emtA,G6622,lytic murein transglycosylase E,b1193
2479,ycgR,G6623,,b1194
2480,ycgR,G6623,flagellar brake protein YcgR,b1194
2481,ymgE,G6624,,b1195
2482,ymgE,G6624,PF04226 family protein YmgE,b1195
2483,ycgY,G6625,,b1196
2484,ycgY,G6625,uncharacterized protein YcgY,b1196
2485,treA,EG11017,,b1197
2486,treA,EG11017,periplasmic trehalase,b1197
2487,dhaM,EG12399,,b1198
2488,dhaM,EG12399,dihydroxyacetone kinase subunit M,b1198
2489,dhaL,G6626,,b1199
2490,dhaL,G6626,dihydroxyacetone kinase subunit L,b1199
2491,dhaK,G6627,,b1200
2492,dhaK,G6627,dihydroxyacetone kinase subunit K,b1200
2493,dhaR,G6628,,b1201
2494,dhaR,G6628,DNA-binding transcriptional dual regulator DhaR,b1201
2495,ycgV,G6629,,b1202
2496,ycgV,G6629,putative autotransporter adhesin YcgV,b1202
2497,ychF,EG11404,,b1203
2498,ychF,EG11404,redox-responsive ATPase YchF,b1203
2499,pth,EG10785,,b1204
2500,pth,EG10785,peptidyl-tRNA hydrolase,b1204
2501,ychH,EG11533,,b1205
2502,ychH,EG11533,stress-induced protein,b1205
2503,dauA,EG12392,,b1206
2504,dauA,EG12392,aerobic C4-dicarboxylate transporter DauA,b1206
2505,prs,EG10774,,b1207
2506,prs,EG10774,ribose-phosphate diphosphokinase,b1207
2507,ispE,EG11294,,b1208
2508,ispE,EG11294,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,b1208
2509,lolB,EG11293,,b1209
2510,lolB,EG11293,outer membrane lipoprotein LolB,b1209
2511,hemA,EG10427,,b1210
2512,hemA,EG10427,glutamyl-tRNA reductase,b1210
2513,prfA,EG10761,,b1211
2514,prfA,EG10761,peptide chain release factor RF1,b1211
2515,prmC,EG12424,,b1212
2516,prmC,EG12424,protein-(glutamine-N(5)) methyltransferase,b1212
2517,ychQ,G6630,,b1213
2518,ychQ,G6630,SirB family protein YchQ,b1213
2519,ychA,EG11251,,b1214
2520,ychA,EG11251,transglutaminase-like/TPR repeat-containing protein,b1214
2521,kdsA,EG10518,,b1215
2522,kdsA,EG10518,3-deoxy-D-manno-octulosonate 8-phosphate synthase,b1215
2523,ldrA,G0-9602,,b4419
2524,ldrA,G0-9602,small toxic polypeptide LdrA,b4419
2525,rdlA,G0-9603,,b4420
2526,rdlA,G0-9603,putative antisense regulatory RNA RdlA,b4420
2527,ldrB,G0-9605,,b4421
2528,ldrB,G0-9605,small toxic polypeptide LdrB,b4421
2529,rdlB,G0-9606,,b4422
2530,rdlB,G0-9606,putative antisense regulatory RNA RdlB,b4422
2531,ldrC,G0-9607,,b4423
2532,ldrC,G0-9607,small toxic polypeptide LdrC,b4423
2533,rdlC,G0-9608,,b4424
2534,rdlC,G0-9608,putative antisense regulatory RNA RdlC,b4424
2535,chaA,EG11753,,b1216
2536,chaA,EG11753,Na(+)/K(+):H(+) antiporter ChaA,b1216
2537,chaB,EG12402,,b1217
2538,chaB,EG12402,putative cation transport regulator ChaB,b1217
2539,chaC,EG12403,,b1218
2540,chaC,EG12403,glutathione-specific gamma-glutamylcyclotransferase,b1218
2541,ychN,EG12404,,b1219
2542,ychN,EG12404,DsrE/F sulfur relay family protein YchN,b1219
2543,ychO,EG12405,,b1220
2544,ychO,EG12405,putative invasin YchO,b1220
2545,narL,EG10643,,b1221
2546,narL,EG10643,DNA-binding transcriptional dual regulator NarL,b1221
2547,narX,EG10646,,b1222
2548,narX,EG10646,sensor histidine kinase NarX,b1222
2549,narK,EG10642,,b1223
2550,narK,EG10642,nitrate:nitrite antiporter NarK,b1223
2551,narS,G0-17088,,b4813
2552,narS,G0-17088,putative small regulatory RNA NarS,b4813
2553,narG,EG10638,,b1224
2554,narG,EG10638,nitrate reductase A subunit alpha,b1224
2555,narH,EG10639,,b1225
2556,narH,EG10639,nitrate reductase A subunit beta,b1225
2557,narJ,EG10641,,b1226
2558,narJ,EG10641,nitrate reductase 1 molybdenum cofactor assembly chaperone,b1226
2559,narI,EG10640,,b1227
2560,narI,EG10640,nitrate reductase A subunit gamma,b1227
2561,ychS,G6631,,b1228
2562,ychS,G6631,putative uncharacterized protein YchS,b1228
2563,rttR,G0-9609,,b4425
2564,rttR,G0-9609,small RNA RttR,b4425
2565,tpr,EG11016,,b1229
2566,tpr,EG11016,protamine-like protein,b1229
2567,tyrV,EG30108,,b1230
2568,tyrV,EG30108,tRNA-Tyr,b1230
2569,tyrT,EG30106,,b1231
2570,tyrT,EG30106,tRNA-Tyr,b1231
2571,purU,EG11819,,b1232
2572,purU,EG11819,formyltetrahydrofolate deformylase,b1232
2573,ychJ,EG12119,,b1233
2574,ychJ,EG12119,NTF2-like domain-containing protein YchJ,b1233
2575,rssA,EG12120,,b1234
2576,rssA,EG12120,putative patatin-like phospholipase RssA,b1234
2577,rssB,EG12121,,b1235
2578,rssB,EG12121,regulator of RpoS,b1235
2579,galU,EG11319,,b1236
2580,galU,EG11319,UTP--glucose-1-phosphate uridylyltransferase,b1236
2581,hns,EG10457,,b1237
2582,hns,EG10457,DNA-binding transcriptional dual regulator H-NS,b1237
2583,tdk,EG10994,,b1238
2584,tdk,EG10994,thymidine/deoxyuridine kinase,b1238
2585,insZ,G6632,,b4573
2586,adhE,EG10031,,b1241
2587,adhE,EG10031,fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE,b1241
2588,ychT,G0-17017,,b4771
2589,ychT,G0-17017,protein YchT,b4771
2590,ychE,EG11342,,b1242
2591,ychE,EG11342,MarC family putative inner membrane protein YchE,b1242
2592,insH21,G0-16639,,b4711
2593,insH21,G0-16639,IS5 family transposase and trans-activator,b4711
2594,oppA,EG10674,,b1243
2595,oppA,EG10674,oligopeptide ABC transporter periplasmic binding protein,b1243
2596,oppB,EG10675,,b1244
2597,oppB,EG10675,murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB,b1244
2598,oppC,EG10676,,b1245
2599,oppC,EG10676,murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC,b1245
2600,oppD,EG10677,,b1246
2601,oppD,EG10677,murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD,b1246
2602,oppF,EG10678,,b1247
2603,oppF,EG10678,murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF,b1247
2604,yciU,G6633,,b1248
2605,yciU,G6633,DUF440 domain-containing protein YciU,b1248
2606,clsA,EG11608,,b1249
2607,clsA,EG11608,cardiolipin synthase A,b1249
2608,yciY,G0-8891,,b4595
2609,yciY,G0-8891,uncharacterized protein YciY,b4595
2610,kch,EG11606,,b1250
2611,kch,EG11606,K(+) channel Kch,b1250
2612,yciI,EG11607,,b1251
2613,yciI,EG11607,protein YciI,b1251
2614,tonB,EG11012,,b1252
2615,tonB,EG11012,Ton complex subunit TonB,b1252
2616,yciA,EG11121,,b1253
2617,yciA,EG11121,acyl-CoA thioesterase YciA,b1253
2618,yciB,EG11122,,b1254
2619,yciB,EG11122,inner membrane protein,b1254
2620,yciC,EG11123,,b1255
2621,yciC,EG11123,putative inner membrane protein,b1255
2622,ompW,EG11124,,b1256
2623,ompW,EG11124,outer membrane protein W,b1256
2624,yciE,EG11125,,b1257
2625,yciE,EG11125,DUF892 domain-containing protein YciE,b1257
2626,yciF,EG11126,,b1258
2627,yciF,EG11126,DUF892 domain-containing protein YciF,b1258
2628,yciG,EG11127,,b1259
2629,yciG,EG11127,stress-induced bacterial acidophilic repeat motifs-containing protein YciG,b1259
2630,trpA,EG11024,,b1260
2631,trpA,EG11024,tryptophan synthase subunit alpha,b1260
2632,trpB,EG11025,,b1261
2633,trpB,EG11025,tryptophan synthase subunit beta,b1261
2634,trpC,EG11026,,b1262
2635,trpC,EG11026,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,b1262
2636,trpD,EG11027,,b1263
2637,trpD,EG11027,anthranilate synthase subunit TrpD,b1263
2638,trpE,EG11028,,b1264
2639,trpE,EG11028,anthranilate synthase subunit TrpE,b1264
2640,trpL,EG11274,,b1265
2641,trpL,EG11274,trp operon leader peptide,b1265
2642,rnm,G6634,,b1266
2643,rnm,G6634,RNase AM,b1266
2644,yciO,G6635,,b1267
2645,yciO,G6635,putative RNA-binding protein YciO,b1267
2646,yciQ,G6636,,b1268
2647,yciQ,G6636,DUF2207 domain-containing protein YciQ,b1268
2648,rluB,EG12433,,b1269
2649,rluB,EG12433,23S rRNA pseudouridine(2605) synthase,b1269
2650,btuR,EG10130,,b1270
2651,btuR,EG10130,cobinamide/cobalamin adenosyltransferase,b1270
2652,yciK,EG11759,,b1271
2653,yciK,EG11759,putative oxidoreductase,b1271
2654,sohB,EG10956,,b1272
2655,sohB,EG10956,S49 peptidase family protein,b1272
2656,yciN,EG12868,,b1273
2657,yciN,EG12868,protein YciN,b1273
2658,topA,EG11013,,b1274
2659,topA,EG11013,DNA topoisomerase 1,b1274
2660,cysB,EG10184,,b1275
2661,cysB,EG10184,DNA-binding transcriptional dual regulator CysB,b1275
2662,ymiA,G0-10512,,b4522
2663,ymiA,G0-10512,uncharacterized protein YmiA,b4522
2664,yciX,G0-10513,,b4523
2665,yciX,G0-10513,uncharacterized protein YciX,b4523
2666,ymiC,G0-16736,,b4741
2667,ymiC,G0-16736,protein YmiC,b4741
2668,acnA,EG11325,,b1276
2669,acnA,EG11325,aconitate hydratase 1,b1276
2670,ribA,EG11331,,b1277
2671,ribA,EG11331,GTP cyclohydrolase 2,b1277
2672,pgpB,EG10705,,b1278
2673,pgpB,EG10705,phosphatidylglycerophosphatase B,b1278
2674,lapA,G6637,,b1279
2675,lapA,G6637,lipopolysaccharide assembly protein A,b1279
2676,lapB,EG12691,,b1280
2677,lapB,EG12691,lipopolysaccharide assembly protein B,b1280
2678,pyrF,EG10809,,b1281
2679,pyrF,EG10809,orotidine-5'-phosphate decarboxylase,b1281
2680,yciH,EG11128,,b1282
2681,yciH,EG11128,putative translation factor,b1282
2682,osmB,EG10679,,b1283
2683,osmB,EG10679,osmotically-inducible lipoprotein OsmB,b1283
2684,yciT,G6638,,b1284
2685,yciT,G6638,DNA-binding transcriptional dual regulator YciT,b1284
2686,yciZ,G0-10591,,b4596
2687,yciZ,G0-10591,UPF0509 family protein YciZ,b4596
2688,ymiD,G0-17018,,b4772
2689,ymiD,G0-17018,protein YmiD,b4772
2690,pdeR,G6639,,b1285
2691,pdeR,G6639,cyclic di-GMP phosphodiesterase PdeR,b1285
2692,ymiB,G0-16673,,b4672
2693,ymiB,G0-16673,putative protein YmiB,b4672
2694,rnb,EG11620,,b1286
2695,rnb,EG11620,RNase II,b1286
2696,yciW,G6640,,b1287
2697,yciW,G6640,putative peroxidase YciW,b1287
2698,fabI,EG11528,,b1288
2699,fabI,EG11528,enoyl-[acyl-carrier-protein] reductase,b1288
2700,ycjD,G6641,,b1289
2701,ycjD,G6641,DUF559 domain-containing protein YcjD,b1289
2702,sapF,EG12305,,b1290
2703,sapF,EG12305,putrescine ABC exporter ATP binding protein SapF,b1290
2704,sapD,EG12304,,b1291
2705,sapD,EG12304,putrescine ABC exporter ATP binding protein SapD,b1291
2706,sapC,G2000,,b1292
2707,sapC,G2000,putrescine ABC exporter membrane protein SapC,b1292
2708,sapB,G2001,,b1293
2709,sapB,G2001,putrescine ABC exporter membrane subunit SapB,b1293
2710,sapA,G2002,,b1294
2711,sapA,G2002,putative periplasmic binding protein SapA,b1294
2712,ymjA,G6642,,b1295
2713,ymjA,G6642,DUF2543 domain-containing protein YmjA,b1295
2714,puuP,G6643,,b1296
2715,puuP,G6643,putrescine:H(+) symporter PuuP,b1296
2716,ymjE,G0-16737,,b4742
2717,ymjE,G0-16737,protein YmjE,b4742
2718,puuA,G6644,,b1297
2719,puuA,G6644,glutamate-putrescine ligase,b1297
2720,puuD,G6645,,b1298
2721,puuD,G6645,gamma-glutamyl-gamma-aminobutyrate hydrolase,b1298
2722,puuR,EG12431,,b1299
2723,puuR,EG12431,DNA-binding transcriptional repressor PuuR,b1299
2724,puuC,EG10036,,b1300
2725,puuC,EG10036,gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase,b1300
2726,puuB,EG11822,,b1301
2727,puuB,EG11822,gamma-glutamylputrescine oxidase,b1301
2728,puuE,G6646,,b1302
2729,puuE,G6646,4-aminobutyrate aminotransferase PuuE,b1302
2730,pspF,EG12344,,b1303
2731,pspF,EG12344,DNA-binding transcriptional dual regulator PspF,b1303
2732,pspA,EG10776,,b1304
2733,pspA,EG10776,phage shock protein A,b1304
2734,pspB,EG10777,,b1305
2735,pspB,EG10777,phage shock protein B,b1305
2736,pspC,EG10778,,b1306
2737,pspC,EG10778,phage shock protein C,b1306
2738,pspD,EG10779,,b1307
2739,pspD,EG10779,phage shock protein D,b1307
2740,pspE,EG10780,,b1308
2741,pspE,EG10780,thiosulfate sulfurtransferase PspE,b1308
2742,ycjM,G6647,,b1309
2743,ycjM,G6647,glucosylglycerate phosphorylase,b1309
2744,ycjN,G6648,,b1310
2745,ycjN,G6648,putative ABC transporter periplasmic binding protein YcjN,b1310
2746,ycjO,G6649,,b1311
2747,ycjO,G6649,putative ABC transporter membrane subunit YcjO,b1311
2748,ycjP,G6650,,b1312
2749,ycjP,G6650,putative ABC transporter membrane subunit YcjP,b1312
2750,ycjQ,G6651,,b1313
2751,ycjQ,G6651,D-guloside 3-dehydrogenase,b1313
2752,ycjR,G6652,,b1314
2753,ycjR,G6652,3-dehydro-D-guloside 4-epimerase,b1314
2754,ycjS,G6653,,b1315
2755,ycjS,G6653,D-glucoside 3-dehydrogenase,b1315
2756,ycjT,G6654,,b1316
2757,ycjT,G6654,kojibiose phosphorylase,b1316
2758,ycjU,G6655,,b1317
2759,ycjU,G6655,beta-phosphoglucomutase,b1317
2760,ycjV,G6656,,b1318
2761,ymjB,G0-10445,,b4524
2762,ompG,G6657,,b1319
2763,ompG,G6657,outer membrane porin G,b1319
2764,ycjW,G6658,,b1320
2765,ycjW,G6658,DNA-binding transcriptional repressor YcjW,b1320
2766,ycjX,G6659,,b1321
2767,ycjX,G6659,DUF463 domain-containing protein YcjX,b1321
2768,ycjF,EG12870,,b1322
2769,ycjF,EG12870,DUF697 domain-containing inner membrane protein YcjF,b1322
2770,tyrR,EG11042,,b1323
2771,tyrR,EG11042,DNA-binding transcriptional dual regulator TyrR,b1323
2772,tpx,G6660,,b1324
2773,tpx,G6660,lipid hydroperoxide peroxidase,b1324
2774,ycjG,G6661,,b1325
2775,ycjG,G6661,L-Ala-D/L-Glu epimerase,b1325
2776,mpaA,G6662,,b1326
2777,mpaA,G6662,murein tripeptide amidase A,b1326
2778,ymjC,G0-10446,,b4525
2779,ymjC,G0-10446,putative uncharacterized protein YmjC,b4525
2780,ymjD,G0-10645,,b4673
2781,ymjD,G0-10645,uncharacterized protein YmjD,b4673
2782,ycjY,G6663,,b1327
2783,ycjY,G6663,putative hydrolase YcjY,b1327
2784,pgrR,G6664,,b1328
2785,pgrR,G6664,DNA-binding transcriptional repressor PgrR,b1328
2786,mppA,G6665,,b1329
2787,mppA,G6665,murein tripeptide ABC transporter periplasmic binding protein,b1329
2788,ynaI,G6666,,b1330
2789,ynaI,G6666,small conductance mechanosensitive channel YnaI,b1330
2790,insH4,G6667,,b1331
2791,insH4,G6667,IS5 family transposase and trans-activator,b1331
2792,ynaJ,G6668,,b1332
2793,ynaJ,G6668,DUF2534 domain-containing protein YnaJ,b1332
2794,uspE,EG11246,,b1333
2795,uspE,EG11246,universal stress protein E,b1333
2796,fnr,EG10325,,b1334
2797,fnr,EG10325,DNA-binding transcriptional dual regulator FNR,b1334
2798,ogt,EG10668,,b1335
2799,ogt,EG10668,methylated-DNA--[protein]-cysteine S-methyltransferase,b1335
2800,abgT,EG12853,,b1336
2801,abgT,EG12853,p-aminobenzoyl glutamate:H(+) symporter,b1336
2802,abgB,G6669,,b1337
2803,abgB,G6669,p-aminobenzoyl-glutamate hydrolase subunit B,b1337
2804,abgA,G6670,,b1338
2805,abgA,G6670,p-aminobenzoyl-glutamate hydrolase subunit A,b1338
2806,abgR,G6671,,b1339
2807,abgR,G6671,putative LysR-type DNA-binding transcriptional regulator AbgR,b1339
2808,mcaS,G0-8899,,b4426
2809,mcaS,G0-8899,small regulatory RNA McaS,b4426
2810,smrA,G6672,,b1340
2811,smrA,G6672,DNA endonuclease SmrA,b1340
2812,dgcM,G6673,,b1341
2813,dgcM,G6673,diguanylate cyclase DgcM,b1341
2814,ynaN,G0-17019,,b4773
2815,ynaN,G0-17019,protein YnaN,b4773
2816,zntB,G6674,,b1342
2817,zntB,G6674,Zn(2(+)):H(+) symporter,b1342
2818,fnrS,G0-10677,,b4699
2819,fnrS,G0-10677,small regulatory RNA FnrS,b4699
2820,ynaL,G0-8900,,b4743
2821,ynaL,G0-8900,protein YnaL,b4743
2822,dbpA,EG10210,,b1343
2823,dbpA,EG10210,ATP-dependent RNA helicase DbpA,b1343
2824,ttcA,G6675,,b1344
2825,ttcA,G6675,tRNA cytosine(32) 2-sulfurtransferase TtcA,b1344
2826,intR,G6676,,b1345
2827,intR,G6676,putative integrase,b1345
2828,xisR,G6677,,b1346
2829,xisR,G6677,excisionase,b1346
2830,rcbA,EG11901,,b1347
2831,rcbA,EG11901,double-strand break reduction protein,b1347
2832,ralA,G0-16600,,b4714
2833,ralA,G0-16600,small regulatory RNA antitoxin RalA,b4714
2834,ralR,EG11900,,b1348
2835,ralR,EG11900,endodeoxyribonuclease toxin RalR,b1348
2836,recT,EG11899,,b1349
2837,recT,EG11899,recombinase RecT,b1349
2838,recE,EG10827,,b1350
2839,recE,EG10827,"exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific",b1350
2840,racC,EG10813,,b1351
2841,racC,EG10813,protein RacC,b1351
2842,ydaE,G0-9081,,b4526
2843,ydaE,G0-9081,zinc-binding protein,b4526
2844,kilR,EG12155,,b1352
2845,kilR,EG12155,inhibitor of FtsZ,b1352
2846,kilS,G0-17108,,b4833
2847,kilS,G0-17108,small RNA KilS,b4833
2848,sieB,EG12154,,b1353
2849,sieB,EG12154,phage superinfection exclusion protein,b1353
2850,ydaF,G0-10448,,b4527
2851,ydaF,G0-10448,DUF1391 domain-containing protein YdaF,b4527
2852,ydaG,G6679,,b1355
2853,ydaG,G6679,uncharacterized protein YdaG,b1355
2854,racR,G6680,,b1356
2855,racR,G6680,DNA-binding transcriptional repressor RacR,b1356
2856,ydaS,G6681,,b1357
2857,ydaS,G6681,toxin YdaS,b1357
2858,ydaT,G6682,,b1358
2859,ydaT,G6682,protein YdaT,b1358
2860,ydaU,G6683,,b1359
2861,ydaU,G6683,DUF1376 domain-containing protein YdaU,b1359
2862,ydaV,G6684,,b1360
2863,ydaV,G6684,putative ATP-binding protein YdaV,b1360
2864,ydaW,G6685,,b1361
2865,ydaW,G6685,putative uncharacterized protein YdaW,b1361
2866,rzpR,G6686,,b1362
2867,rzoR,G0-10449,,b4528
2868,rzoR,G0-10449,putative prophage outer membrane lipoprotein RzoR,b4528
2869,trkG,EG11020,,b1363
2870,trkG,EG11020,K(+) transporter TrkG,b1363
2871,ynaK,G6688,,b1365
2872,ynaK,G6688,ParB-like nuclease domain-containing protein YnaK,b1365
2873,ydaY,G6689,,b1366
2874,ydaY,G6689,putative uncharacterized protein YdaY,b1366
2875,ynaA,G6691,,b1368
2876,ynaA,G6691,putative prophage tail length tape measure domain-containing protein YnaA,b1368
2877,lomR,G6692,,b4570
2878,lomR,G6692,Rac prophage; protein LomR_1,b4570
2879,lomR,GFRAG0-3,,b4570
2880,insH5,G6693,,b1370
2881,insH5,G6693,IS5 family transposase and trans-activator,b1370
2882,lomR,G6694,,b4570
2883,stfR,G6695,,b1372
2884,stfR,G6695,putative prophage side tail fiber protein StfR,b1372
2885,tfaR,G6696,,b1373
2886,tfaR,G6696,putative tail fiber assembly protein TfaR,b1373
2887,pinR,G6697,,b1374
2888,pinR,G6697,putative site-specific recombinase,b1374
2889,ynaE,G6698,,b1375
2890,ynaE,G6698,uncharacterized protein YnaE,b1375
2891,ynaM,G0-16738,,b4744
2892,ynaM,G0-16738,protein YnaM,b4744
2893,ttcC,G0-16659,,b4638
2894,uspF,G6699,,b1376
2895,uspF,G6699,universal stress protein F,b1376
2896,ompN,G6700,,b1377
2897,ompN,G6700,outer membrane porin N,b1377
2898,micC,G0-8901,,b4427
2899,micC,G0-8901,small regulatory RNA MicC,b4427
2900,ydbK,G6701,,b1378
2901,ydbK,G6701,putative pyruvate-flavodoxin oxidoreductase,b1378
2902,ydbJ,G0-10450,,b4529
2903,ydbJ,G0-10450,DUF333 domain-containing protein YdbJ,b4529
2904,hslJ,G6702,,b1379
2905,hslJ,G6702,lipoprotein implicated in Novobiocin resistance,b1379
2906,ldhA,G592,,b1380
2907,ldhA,G592,D-lactate dehydrogenase,b1380
2908,ydbH,G6703,,b1381
2909,ydbH,G6703,putative phospholipid transport factor YdbH,b1381
2910,ynbE,G6704,,b1382
2911,ynbE,G6704,lipoprotein YnbE,b1382
2912,ydbL,G6705,,b1383
2913,ydbL,G6705,DUF1318 domain-containing protein YdbL,b1383
2914,feaR,G6706,,b1384
2915,feaR,G6706,DNA-binding transcriptional activator FeaR,b1384
2916,feaB,G7961,,b1385
2917,feaB,G7961,phenylacetaldehyde dehydrogenase,b1385
2918,tynA,EG13139,,b1386
2919,tynA,EG13139,copper-containing amine oxidase,b1386
2920,paaZ,G6708,,b1387
2921,paaZ,G6708,"fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase",b1387
2922,paaA,G6709,,b1388
2923,paaA,G6709,"phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit",b1388
2924,paaB,G6710,,b1389
2925,paaB,G6710,"phenylacetyl-CoA 1,2-epoxidase subunit B",b1389
2926,paaC,G6711,,b1390
2927,paaC,G6711,"phenylacetyl-CoA 1,2-epoxidase, structural subunit",b1390
2928,paaD,G6712,,b1391
2929,paaD,G6712,phenylacetate degradation protein,b1391
2930,paaE,G6713,,b1392
2931,paaE,G6713,"phenylacetyl-CoA 1,2-epoxidase, reductase subunit",b1392
2932,paaF,G6714,,b1393
2933,paaF,G6714,"putative 2,3-dehydroadipyl-CoA hydratase",b1393
2934,paaG,G6715,,b1394
2935,paaG,G6715,"putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",b1394
2936,paaH,G6716,,b1395
2937,paaH,G6716,3-hydroxyadipyl-CoA dehydrogenase,b1395
2938,paaI,G6717,,b1396
2939,paaI,G6717,phenylacetyl-CoA thioesterase,b1396
2940,paaJ,G6718,,b1397
2941,paaJ,G6718,beta-ketoadipyl-CoA thiolase,b1397
2942,paaK,G6719,,b1398
2943,paaK,G6719,phenylacetate-CoA ligase,b1398
2944,paaX,G6720,,b1399
2945,paaX,G6720,DNA-binding transcriptional repressor PaaX,b1399
2946,paaY,G6721,,b1400
2947,paaY,G6721,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b1400
2948,ynbG,G0-10646,,b4674
2949,ynbG,G0-10646,uncharacterized protein YnbG,b4674
2950,ydbA,G6722,,b4492
2951,ydbA,G6722,"putative outer membrane protein, N-terminal fragment",b4492
2952,ydbA,GFRAG0-6,,b4492
2953,insD2,G6723,,b1402
2954,insD2,G6723,IS2 insertion element protein InsB,b1402
2955,insC2,G6724,,b1403
2956,insC2,G6724,IS2 insertion element repressor InsA,b1403
2957,ydbA,GFRAG0-7,,b4492
2958,insI2,G6725,,b1404
2959,insI2,G6725,IS30 family transposase,b1404
2960,ydbA,G8204,,b4492
2961,pdxI,EG11309,,b1406
2962,pdxI,EG11309,pyridoxal reductase,b1406
2963,ydbD,EG11310,,b1407
2964,ydbD,EG11310,DUF2773 domain-containing protein YdbD,b1407
2965,ynbA,G6727,,b1408
2966,ynbA,G6727,CDP-alcohol phosphatidyltransferase domain-containing protein YnbA,b1408
2967,ynbB,G6728,,b1409
2968,ynbB,G6728,putative CDP-diglyceride synthase,b1409
2969,ynbC,G6729,,b1410
2970,ynbC,G6729,hydrolase/methyltransferase domain-containing protein YnbC,b1410
2971,ynbD,G6730,,b1411
2972,ynbD,G6730,phosphatase domain-containing protein YnbD,b1411
2973,azoR,G6731,,b1412
2974,azoR,G6731,FMN dependent NADH:quinone oxidoreductase,b1412
2975,hrpA,G6732,,b1413
2976,hrpA,G6732,ATP-dependent 3'->5' RNA helicase HrpA,b1413
2977,ydcF,EG12110,,b1414
2978,ydcF,EG12110,DUF218 domain-containing protein YdcF,b1414
2979,aldA,EG10035,,b1415
2980,aldA,EG10035,aldehyde dehydrogenase A,b1415
2981,gapC,G8205,,b4493
2982,cybB,EG10172,,b1418
2983,cybB,EG10172,superoxide oxidase,b1418
2984,rydC,G0-10592,,b4597
2985,rydC,G0-10592,small regulatory RNA RydC,b4597
2986,ydcA,EG11219,,b1419
2987,ydcA,EG11219,protein YdcA,b1419
2988,yncP,G0-17020,,b4774
2989,yncP,G0-17020,protein YncP,b4774
2990,hokB,G0-9610,,b4428
2991,hokB,G0-9610,toxin HokB,b4428
2992,mokB,G6736,,b1420
2993,mokB,G6736,putative regulatory protein MokB,b1420
2994,sokB,G0-9611,,b4429
2995,sokB,G0-9611,putative small regulatory RNA antitoxin SokB,b4429
2996,trg,EG11018,,b1421
2997,trg,EG11018,methyl-accepting chemotaxis protein Trg,b1421
2998,ydcI,G6737,,b1422
2999,ydcI,G6737,DNA-binding transcriptional dual regulator YdcI,b1422
3000,ydcJ,G6738,,b1423
3001,ydcJ,G6738,DUF1338 domain-containing protein YdcJ,b1423
3002,opgD,EG12859,,b1424
3003,opgD,EG12859,glucans biosynthesis protein D,b1424
3004,ydcH,EG12865,,b1426
3005,ydcH,EG12865,DUF465 domain-containing protein YdcH,b1426
