,genes_name,genes_id,genes_href
1152,nusA,EG10665,https://biocyc.org/gene?orgid=ECOLI&id=EG10665
1153,ytfA,G7863,https://biocyc.org/gene?orgid=ECOLI&id=G7863
1154,yejB,EG12038,https://biocyc.org/gene?orgid=ECOLI&id=EG12038
1155,ynfL,G6853,https://biocyc.org/gene?orgid=ECOLI&id=G6853
1156,yagP,G6153,https://biocyc.org/gene?orgid=ECOLI&id=G6153
1157,proW,EG10772,https://biocyc.org/gene?orgid=ECOLI&id=EG10772
1158,cspE,EG12179,https://biocyc.org/gene?orgid=ECOLI&id=EG12179
1159,greA,EG10415,https://biocyc.org/gene?orgid=ECOLI&id=EG10415
1160,cysW,EG10198,https://biocyc.org/gene?orgid=ECOLI&id=EG10198
1161,qseB,G7575,https://biocyc.org/gene?orgid=ECOLI&id=G7575
1162,yjcB,EG11937,https://biocyc.org/gene?orgid=ECOLI&id=EG11937
1163,ydcR,G6750,https://biocyc.org/gene?orgid=ECOLI&id=G6750
1164,ydcV,G6754,https://biocyc.org/gene?orgid=ECOLI&id=G6754
1165,xtpA,G0-17126,https://biocyc.org/gene?orgid=ECOLI&id=G0-17126
1166,mlrA,EG12008,https://biocyc.org/gene?orgid=ECOLI&id=EG12008
1167,oppC,EG10676,https://biocyc.org/gene?orgid=ECOLI&id=EG10676
1168,ygeH,G7472,https://biocyc.org/gene?orgid=ECOLI&id=G7472
1169,abgR,G6671,https://biocyc.org/gene?orgid=ECOLI&id=G6671
1170,ycjO,G6649,https://biocyc.org/gene?orgid=ECOLI&id=G6649
1171,mgtL,G0-10689,https://biocyc.org/gene?orgid=ECOLI&id=G0-10689
1172,greB,EG11578,https://biocyc.org/gene?orgid=ECOLI&id=EG11578
1173,dppB,EG12625,https://biocyc.org/gene?orgid=ECOLI&id=EG12625
1174,murR,G7262,https://biocyc.org/gene?orgid=ECOLI&id=G7262
1175,efeB,EG11735,https://biocyc.org/gene?orgid=ECOLI&id=EG11735
1176,ybhD,G6398,https://biocyc.org/gene?orgid=ECOLI&id=G6398
1177,phoH,EG11734,https://biocyc.org/gene?orgid=ECOLI&id=EG11734
1178,yiaG,EG12624,https://biocyc.org/gene?orgid=ECOLI&id=EG12624
1179,rapA,EG11083,https://biocyc.org/gene?orgid=ECOLI&id=EG11083
1180,cynS,EG10175,https://biocyc.org/gene?orgid=ECOLI&id=EG10175
1181,lgoR,G7944,https://biocyc.org/gene?orgid=ECOLI&id=G7944
1182,nimR,G6976,https://biocyc.org/gene?orgid=ECOLI&id=G6976
1183,cynT,EG10176,https://biocyc.org/gene?orgid=ECOLI&id=EG10176
1184,ybaQ,G6259,https://biocyc.org/gene?orgid=ECOLI&id=G6259
1185,rtcR,EG12356,https://biocyc.org/gene?orgid=ECOLI&id=EG12356
1186,yqfB,G7513,https://biocyc.org/gene?orgid=ECOLI&id=G7513
1187,rplD,EG10867,https://biocyc.org/gene?orgid=ECOLI&id=EG10867
1188,ytfH,G7869,https://biocyc.org/gene?orgid=ECOLI&id=G7869
1189,yjiH,G7927,https://biocyc.org/gene?orgid=ECOLI&id=G7927
1190,ynfG,G6847,https://biocyc.org/gene?orgid=ECOLI&id=G6847
1191,nemR,G6889,https://biocyc.org/gene?orgid=ECOLI&id=G6889
1192,matA,G6165,https://biocyc.org/gene?orgid=ECOLI&id=G6165
1193,abgA,G6670,https://biocyc.org/gene?orgid=ECOLI&id=G6670
1194,cspC,EG12204,https://biocyc.org/gene?orgid=ECOLI&id=EG12204
1195,hupA,EG10466,https://biocyc.org/gene?orgid=ECOLI&id=EG10466
1196,ynfH,G6848,https://biocyc.org/gene?orgid=ECOLI&id=G6848
1197,nfeR,G7594,https://biocyc.org/gene?orgid=ECOLI&id=G7594
1198,mcbR,G6761,https://biocyc.org/gene?orgid=ECOLI&id=G6761
1199,ynfE,G6845,https://biocyc.org/gene?orgid=ECOLI&id=G6845
1200,torI,G0-9621,https://biocyc.org/gene?orgid=ECOLI&id=G0-9621
1201,wrbA,EG11540,https://biocyc.org/gene?orgid=ECOLI&id=EG11540
1202,punR,EG12140,https://biocyc.org/gene?orgid=ECOLI&id=EG12140
1203,ybcF,EG12384,https://biocyc.org/gene?orgid=ECOLI&id=EG12384
1204,appA,EG10049,https://biocyc.org/gene?orgid=ECOLI&id=EG10049
1205,frc,G7237,https://biocyc.org/gene?orgid=ECOLI&id=G7237
1206,ynfF,G6846,https://biocyc.org/gene?orgid=ECOLI&id=G6846
1207,dcrB,G7767,https://biocyc.org/gene?orgid=ECOLI&id=G7767
1208,letA,G7006,https://biocyc.org/gene?orgid=ECOLI&id=G7006
1209,abgB,G6669,https://biocyc.org/gene?orgid=ECOLI&id=G6669
1210,nfrA,EG11740,https://biocyc.org/gene?orgid=ECOLI&id=EG11740
1211,pqiC,G6492,https://biocyc.org/gene?orgid=ECOLI&id=G6492
1212,pldB,EG10739,https://biocyc.org/gene?orgid=ECOLI&id=EG10739
1213,yidC,EG11197,https://biocyc.org/gene?orgid=ECOLI&id=EG11197
1214,lptF,G7888,https://biocyc.org/gene?orgid=ECOLI&id=G7888
1215,lolA,G6465,https://biocyc.org/gene?orgid=ECOLI&id=G6465
1216,aaeB,G7685,https://biocyc.org/gene?orgid=ECOLI&id=G7685
1217,copA,G6260,https://biocyc.org/gene?orgid=ECOLI&id=G6260
1218,ygaH,G7406,https://biocyc.org/gene?orgid=ECOLI&id=G7406
1219,msyB,EG11338,https://biocyc.org/gene?orgid=ECOLI&id=EG11338
1220,feoC,EG12933,https://biocyc.org/gene?orgid=ECOLI&id=EG12933
1221,letB,G7007,https://biocyc.org/gene?orgid=ECOLI&id=G7007
1222,hemL,EG10432,https://biocyc.org/gene?orgid=ECOLI&id=EG10432
1223,yehB,EG11988,https://biocyc.org/gene?orgid=ECOLI&id=EG11988
1224,zntB,G6674,https://biocyc.org/gene?orgid=ECOLI&id=G6674
1225,hemC,EG10429,https://biocyc.org/gene?orgid=ECOLI&id=EG10429
1226,wzxE,EG11486,https://biocyc.org/gene?orgid=ECOLI&id=EG11486
1227,pqiA,G6490,https://biocyc.org/gene?orgid=ECOLI&id=G6490
1228,hemF,EG12189,https://biocyc.org/gene?orgid=ECOLI&id=EG12189
1229,fepE,EG10297,https://biocyc.org/gene?orgid=ECOLI&id=EG10297
1230,yhcG,G7674,https://biocyc.org/gene?orgid=ECOLI&id=G7674
1231,aaeA,G7686,https://biocyc.org/gene?orgid=ECOLI&id=G7686
1232,hemG,EG11485,https://biocyc.org/gene?orgid=ECOLI&id=EG11485
1233,cusF,G6321,https://biocyc.org/gene?orgid=ECOLI&id=G6321
1234,mlaB,G7658,https://biocyc.org/gene?orgid=ECOLI&id=G7658
1235,hemD,EG10430,https://biocyc.org/gene?orgid=ECOLI&id=EG10430
1236,yahN,G6193,https://biocyc.org/gene?orgid=ECOLI&id=G6193
1237,mlaA,G7216,https://biocyc.org/gene?orgid=ECOLI&id=G7216
1238,hemA,EG10427,https://biocyc.org/gene?orgid=ECOLI&id=EG10427
1239,lplT,EG12455,https://biocyc.org/gene?orgid=ECOLI&id=EG12455
1240,clcB,G6850,https://biocyc.org/gene?orgid=ECOLI&id=G6850
1241,yicL,EG11688,https://biocyc.org/gene?orgid=ECOLI&id=EG11688
1242,pqiB,G6491,https://biocyc.org/gene?orgid=ECOLI&id=G6491
1243,nlpA,EG10657,https://biocyc.org/gene?orgid=ECOLI&id=EG10657
1244,yhfA,EG11182,https://biocyc.org/gene?orgid=ECOLI&id=EG11182
1245,hemE,EG11543,https://biocyc.org/gene?orgid=ECOLI&id=EG11543
1246,paeA,G7873,https://biocyc.org/gene?orgid=ECOLI&id=G7873
1247,ybhG,G6412,https://biocyc.org/gene?orgid=ECOLI&id=G6412
1248,hemH,EG10431,https://biocyc.org/gene?orgid=ECOLI&id=EG10431
1249,mlaC,G7659,https://biocyc.org/gene?orgid=ECOLI&id=G7659
1250,proY,G6233,https://biocyc.org/gene?orgid=ECOLI&id=G6233
1251,hemB,EG10428,https://biocyc.org/gene?orgid=ECOLI&id=EG10428
1252,ygaZ,G7405,https://biocyc.org/gene?orgid=ECOLI&id=G7405
1253,mlaD,EG12799,https://biocyc.org/gene?orgid=ECOLI&id=EG12799
1254,cysG,EG10188,https://biocyc.org/gene?orgid=ECOLI&id=EG10188
1255,yghS,G7551,https://biocyc.org/gene?orgid=ECOLI&id=G7551
1256,hemN,EG11836,https://biocyc.org/gene?orgid=ECOLI&id=EG11836
1257,ugd,G7091,https://biocyc.org/gene?orgid=ECOLI&id=G7091
1258,wza,G7107,https://biocyc.org/gene?orgid=ECOLI&id=G7107
1259,yceB,EG11117,https://biocyc.org/gene?orgid=ECOLI&id=EG11117
1260,fcl,EG11788,https://biocyc.org/gene?orgid=ECOLI&id=EG11788
1261,wcaA,G7104,https://biocyc.org/gene?orgid=ECOLI&id=G7104
1262,wcaD,G7101,https://biocyc.org/gene?orgid=ECOLI&id=G7101
1263,wcaJ,G7098,https://biocyc.org/gene?orgid=ECOLI&id=G7098
1264,ygcR,G7436,https://biocyc.org/gene?orgid=ECOLI&id=G7436
1265,wcaM,G7094,https://biocyc.org/gene?orgid=ECOLI&id=G7094
1266,insO,G7904,https://biocyc.org/gene?orgid=ECOLI&id=G7904
1267,ypdI,G7239,https://biocyc.org/gene?orgid=ECOLI&id=G7239
1268,gmm,EG11789,https://biocyc.org/gene?orgid=ECOLI&id=EG11789
1269,wzc,G7105,https://biocyc.org/gene?orgid=ECOLI&id=G7105
1270,aroM,EG10083,https://biocyc.org/gene?orgid=ECOLI&id=EG10083
1271,wcaC,G7102,https://biocyc.org/gene?orgid=ECOLI&id=G7102
1272,wcaF,G7099,https://biocyc.org/gene?orgid=ECOLI&id=G7099
1273,glaH,G7394,https://biocyc.org/gene?orgid=ECOLI&id=G7394
1274,sapD,EG12304,https://biocyc.org/gene?orgid=ECOLI&id=EG12304
1275,wcaL,G7095,https://biocyc.org/gene?orgid=ECOLI&id=G7095
1276,speF,EG10964,https://biocyc.org/gene?orgid=ECOLI&id=EG10964
1277,asnB,EG10092,https://biocyc.org/gene?orgid=ECOLI&id=EG10092
1278,wcaI,EG11790,https://biocyc.org/gene?orgid=ECOLI&id=EG11790
1279,astB,G6941,https://biocyc.org/gene?orgid=ECOLI&id=G6941
1280,ypfH,G7296,https://biocyc.org/gene?orgid=ECOLI&id=G7296
1281,gcvA,EG11795,https://biocyc.org/gene?orgid=ECOLI&id=EG11795
1282,wzb,G7106,https://biocyc.org/gene?orgid=ECOLI&id=G7106
1283,ackA,EG10027,https://biocyc.org/gene?orgid=ECOLI&id=EG10027
1284,dtpD,G6378,https://biocyc.org/gene?orgid=ECOLI&id=G6378
1285,wcaB,G7103,https://biocyc.org/gene?orgid=ECOLI&id=G7103
1286,gcvT,EG11442,https://biocyc.org/gene?orgid=ECOLI&id=EG11442
1287,lpd,EG10543,https://biocyc.org/gene?orgid=ECOLI&id=EG10543
1288,wcaE,G7100,https://biocyc.org/gene?orgid=ECOLI&id=G7100
1289,dsdC,EG13161,https://biocyc.org/gene?orgid=ECOLI&id=EG13161
1290,tnaC,EG11276,https://biocyc.org/gene?orgid=ECOLI&id=EG11276
1291,wcaK,G7096,https://biocyc.org/gene?orgid=ECOLI&id=G7096
1292,kbl,EG10512,https://biocyc.org/gene?orgid=ECOLI&id=EG10512
1293,dppD,EG12627,https://biocyc.org/gene?orgid=ECOLI&id=EG12627
1294,pdeN,G7148,https://biocyc.org/gene?orgid=ECOLI&id=G7148
1295,cpsG,EG10162,https://biocyc.org/gene?orgid=ECOLI&id=EG10162
1296,tdh,EG10993,https://biocyc.org/gene?orgid=ECOLI&id=EG10993
1297,dsdA,EG10249,https://biocyc.org/gene?orgid=ECOLI&id=EG10249
1298,tcdA,G7456,https://biocyc.org/gene?orgid=ECOLI&id=G7456
1299,tdcG,G7624,https://biocyc.org/gene?orgid=ECOLI&id=G7624
1300,sapF,EG12305,https://biocyc.org/gene?orgid=ECOLI&id=EG12305
1301,hrpA,G6732,https://biocyc.org/gene?orgid=ECOLI&id=G6732
1302,tdcA,EG10989,https://biocyc.org/gene?orgid=ECOLI&id=EG10989
1303,aspC,EG10096,https://biocyc.org/gene?orgid=ECOLI&id=EG10096
1304,rsmE,EG12366,https://biocyc.org/gene?orgid=ECOLI&id=EG12366
1305,astD,G6942,https://biocyc.org/gene?orgid=ECOLI&id=G6942
1306,gcvP,EG11810,https://biocyc.org/gene?orgid=ECOLI&id=EG11810
1307,yeaX,G6989,https://biocyc.org/gene?orgid=ECOLI&id=G6989
1308,tsaE,EG11757,https://biocyc.org/gene?orgid=ECOLI&id=EG11757
1309,putA,EG10801,https://biocyc.org/gene?orgid=ECOLI&id=EG10801
1310,ansA,EG10045,https://biocyc.org/gene?orgid=ECOLI&id=EG10045
1311,trmA,EG11022,https://biocyc.org/gene?orgid=ECOLI&id=EG11022
1312,feaR,G6706,https://biocyc.org/gene?orgid=ECOLI&id=G6706
1313,sdaB,EG11623,https://biocyc.org/gene?orgid=ECOLI&id=EG11623
1314,trmH,EG10967,https://biocyc.org/gene?orgid=ECOLI&id=EG10967
1315,metB,EG10582,https://biocyc.org/gene?orgid=ECOLI&id=EG10582
1316,pta,EG20173,https://biocyc.org/gene?orgid=ECOLI&id=EG20173
1317,queD,G7431,https://biocyc.org/gene?orgid=ECOLI&id=G7431
1318,dadA,EG11407,https://biocyc.org/gene?orgid=ECOLI&id=EG11407
1319,livF,EG10536,https://biocyc.org/gene?orgid=ECOLI&id=EG10536
1320,ydhL,G6888,https://biocyc.org/gene?orgid=ECOLI&id=G6888
1321,rlmI,G6501,https://biocyc.org/gene?orgid=ECOLI&id=G6501
1322,dppF,EG12628,https://biocyc.org/gene?orgid=ECOLI&id=EG12628
1323,tnaA,EG11005,https://biocyc.org/gene?orgid=ECOLI&id=EG11005
1324,trmO,EG11503,https://biocyc.org/gene?orgid=ECOLI&id=EG11503
1325,gcvH,EG10371,https://biocyc.org/gene?orgid=ECOLI&id=EG10371
1326,tdcE,G7627,https://biocyc.org/gene?orgid=ECOLI&id=G7627
1327,rnd,EG10858,https://biocyc.org/gene?orgid=ECOLI&id=EG10858
1328,lhgD,EG12387,https://biocyc.org/gene?orgid=ECOLI&id=EG12387
1329,tdcB,EG10990,https://biocyc.org/gene?orgid=ECOLI&id=EG10990
1330,rsmC,G7950,https://biocyc.org/gene?orgid=ECOLI&id=G7950
1331,cadC,EG10133,https://biocyc.org/gene?orgid=ECOLI&id=EG10133
1332,astA,G6943,https://biocyc.org/gene?orgid=ECOLI&id=G6943
1333,curA,G6760,https://biocyc.org/gene?orgid=ECOLI&id=G6760
1334,trmJ,G7327,https://biocyc.org/gene?orgid=ECOLI&id=G7327
1335,brnQ,EG12168,https://biocyc.org/gene?orgid=ECOLI&id=EG12168
1336,sdaA,EG10930,https://biocyc.org/gene?orgid=ECOLI&id=EG10930
1337,rlmF,G6416,https://biocyc.org/gene?orgid=ECOLI&id=G6416
1338,ansB,EG10046,https://biocyc.org/gene?orgid=ECOLI&id=EG10046
1339,astE,G6940,https://biocyc.org/gene?orgid=ECOLI&id=G6940
1340,rsmB,EG12163,https://biocyc.org/gene?orgid=ECOLI&id=EG12163
1341,artM,EG11627,https://biocyc.org/gene?orgid=ECOLI&id=EG11627
1342,pheP,EG10708,https://biocyc.org/gene?orgid=ECOLI&id=EG10708
1343,mnmA,EG11344,https://biocyc.org/gene?orgid=ECOLI&id=EG11344
1344,sapA,G2002,https://biocyc.org/gene?orgid=ECOLI&id=G2002
1345,dadX,EG11408,https://biocyc.org/gene?orgid=ECOLI&id=EG11408
1346,cobB,G6577,https://biocyc.org/gene?orgid=ECOLI&id=G6577
1347,miaA,EG10595,https://biocyc.org/gene?orgid=ECOLI&id=EG10595
1348,livG,EG10537,https://biocyc.org/gene?orgid=ECOLI&id=EG10537
1349,tynA,EG13139,https://biocyc.org/gene?orgid=ECOLI&id=EG13139
1350,rtcA,G7750,https://biocyc.org/gene?orgid=ECOLI&id=G7750
1351,gcvR,EG11149,https://biocyc.org/gene?orgid=ECOLI&id=EG11149
1352,glyA,EG10408,https://biocyc.org/gene?orgid=ECOLI&id=EG10408
1353,mnmC,G7199,https://biocyc.org/gene?orgid=ECOLI&id=G7199
1354,iaaA,EG12407,https://biocyc.org/gene?orgid=ECOLI&id=EG12407
1355,tdcR,EG10992,https://biocyc.org/gene?orgid=ECOLI&id=EG10992
1356,thiI,G6238,https://biocyc.org/gene?orgid=ECOLI&id=G6238
1357,dppA,EG10248,https://biocyc.org/gene?orgid=ECOLI&id=EG10248
1358,yhgH,G7747,https://biocyc.org/gene?orgid=ECOLI&id=G7747
1359,ybjX,G6460,https://biocyc.org/gene?orgid=ECOLI&id=G6460
1360,dusC,EG12022,https://biocyc.org/gene?orgid=ECOLI&id=EG12022
1361,hofO,G7737,https://biocyc.org/gene?orgid=ECOLI&id=G7737
1362,eutD,G7288,https://biocyc.org/gene?orgid=ECOLI&id=G7288
1363,rlmH,EG11254,https://biocyc.org/gene?orgid=ECOLI&id=EG11254
1364,hofQ,EG12113,https://biocyc.org/gene?orgid=ECOLI&id=EG12113
1365,deoD,EG10222,https://biocyc.org/gene?orgid=ECOLI&id=EG10222
1366,rsmG,EG10376,https://biocyc.org/gene?orgid=ECOLI&id=EG10376
1367,yhhX,G7757,https://biocyc.org/gene?orgid=ECOLI&id=G7757
1368,hofN,G7738,https://biocyc.org/gene?orgid=ECOLI&id=G7738
1369,tusB,G7712,https://biocyc.org/gene?orgid=ECOLI&id=G7712
1370,agaS,G7634,https://biocyc.org/gene?orgid=ECOLI&id=G7634
1371,ybeU,G6355,https://biocyc.org/gene?orgid=ECOLI&id=G6355
1372,rlmJ,EG12234,https://biocyc.org/gene?orgid=ECOLI&id=EG12234
1373,tusE,EG12876,https://biocyc.org/gene?orgid=ECOLI&id=EG12876
1374,rhaM,EG11865,https://biocyc.org/gene?orgid=ECOLI&id=EG11865
1375,ulaG,G7855,https://biocyc.org/gene?orgid=ECOLI&id=G7855
1376,insN,G6130,https://biocyc.org/gene?orgid=ECOLI&id=G6130
1377,trmL,EG11888,https://biocyc.org/gene?orgid=ECOLI&id=EG11888
1378,hofM,G7739,https://biocyc.org/gene?orgid=ECOLI&id=G7739
1379,hofP,G7736,https://biocyc.org/gene?orgid=ECOLI&id=G7736
1380,tsaD,EG11171,https://biocyc.org/gene?orgid=ECOLI&id=EG11171
1381,ydgJ,G6868,https://biocyc.org/gene?orgid=ECOLI&id=G6868
1382,yohF,EG12019,https://biocyc.org/gene?orgid=ECOLI&id=EG12019
1383,cca,EG10136,https://biocyc.org/gene?orgid=ECOLI&id=EG10136
1384,yahK,G6190,https://biocyc.org/gene?orgid=ECOLI&id=G6190
1385,rlmG,G7603,https://biocyc.org/gene?orgid=ECOLI&id=G7603
1386,rlmN,EG12401,https://biocyc.org/gene?orgid=ECOLI&id=EG12401
1387,aspA,EG10095,https://biocyc.org/gene?orgid=ECOLI&id=EG10095
1388,selU,EG11768,https://biocyc.org/gene?orgid=ECOLI&id=EG11768
1389,csdA,G7454,https://biocyc.org/gene?orgid=ECOLI&id=G7454
1390,guaD,G7502,https://biocyc.org/gene?orgid=ECOLI&id=G7502
1391,trmD,EG11023,https://biocyc.org/gene?orgid=ECOLI&id=EG11023
1392,ggt,EG10374,https://biocyc.org/gene?orgid=ECOLI&id=EG10374
1393,ytjC,EG12164,https://biocyc.org/gene?orgid=ECOLI&id=EG12164
1394,asphoP,G0-17124,https://biocyc.org/gene?orgid=ECOLI&id=G0-17124
1395,truC,G7449,https://biocyc.org/gene?orgid=ECOLI&id=G7449
1396,fbp,EG10283,https://biocyc.org/gene?orgid=ECOLI&id=EG10283
1397,glpX,EG11517,https://biocyc.org/gene?orgid=ECOLI&id=EG11517
1398,rluE,G6581,https://biocyc.org/gene?orgid=ECOLI&id=G6581
1399,ybhA,EG11239,https://biocyc.org/gene?orgid=ECOLI&id=EG11239
1400,pgk,EG10703,https://biocyc.org/gene?orgid=ECOLI&id=EG10703
1401,rsmJ,EG12233,https://biocyc.org/gene?orgid=ECOLI&id=EG12233
1402,mdh,EG10576,https://biocyc.org/gene?orgid=ECOLI&id=EG10576
1403,yedL,G7040,https://biocyc.org/gene?orgid=ECOLI&id=G7040
1404,rlmE,EG11507,https://biocyc.org/gene?orgid=ECOLI&id=EG11507
1405,gapA,EG10367,https://biocyc.org/gene?orgid=ECOLI&id=EG10367
1406,yicI,EG11685,https://biocyc.org/gene?orgid=ECOLI&id=EG11685
1407,ytiE,G0-17097,https://biocyc.org/gene?orgid=ECOLI&id=G0-17097
1408,tgt,EG10996,https://biocyc.org/gene?orgid=ECOLI&id=EG10996
1409,yggF,EG11245,https://biocyc.org/gene?orgid=ECOLI&id=EG11245
1410,ppsA,EG10759,https://biocyc.org/gene?orgid=ECOLI&id=EG10759
1411,rnpA,EG10862,https://biocyc.org/gene?orgid=ECOLI&id=EG10862
1412,pck,EG10688,https://biocyc.org/gene?orgid=ECOLI&id=EG10688
1413,maeB,G7293,https://biocyc.org/gene?orgid=ECOLI&id=G7293
1414,tapT,G7349,https://biocyc.org/gene?orgid=ECOLI&id=G7349
1415,epd,EG10368,https://biocyc.org/gene?orgid=ECOLI&id=EG10368
1416,gpmA,EG11699,https://biocyc.org/gene?orgid=ECOLI&id=EG11699
1417,rlmC,G6449,https://biocyc.org/gene?orgid=ECOLI&id=G6449
1418,eno,EG10258,https://biocyc.org/gene?orgid=ECOLI&id=EG10258
1419,naRNA5,G0-16698,https://biocyc.org/gene?orgid=ECOLI&id=G0-16698
1420,csrA,EG11447,https://biocyc.org/gene?orgid=ECOLI&id=EG11447
1421,gluQ,EG11362,https://biocyc.org/gene?orgid=ECOLI&id=EG11362
1422,maeA,EG10948,https://biocyc.org/gene?orgid=ECOLI&id=EG10948
1423,pgi,EG10702,https://biocyc.org/gene?orgid=ECOLI&id=EG10702
1424,pcnB,EG10690,https://biocyc.org/gene?orgid=ECOLI&id=EG10690
1425,queG,G7843,https://biocyc.org/gene?orgid=ECOLI&id=G7843
1426,yqgB,G7521,https://biocyc.org/gene?orgid=ECOLI&id=G7521
1427,tmcA,G7297,https://biocyc.org/gene?orgid=ECOLI&id=G7297
1428,nc1,G0-10738,https://biocyc.org/gene?orgid=ECOLI&id=G0-10738
1429,queC,G6245,https://biocyc.org/gene?orgid=ECOLI&id=G6245
1430,yobF,G7000,https://biocyc.org/gene?orgid=ECOLI&id=G7000
1431,rsuA,EG12044,https://biocyc.org/gene?orgid=ECOLI&id=EG12044
1432,rng,EG11299,https://biocyc.org/gene?orgid=ECOLI&id=EG11299
1433,gadB,EG11490,https://biocyc.org/gene?orgid=ECOLI&id=EG11490
1434,truA,EG10454,https://biocyc.org/gene?orgid=ECOLI&id=EG10454
1435,ydgU,G0-10593,https://biocyc.org/gene?orgid=ECOLI&id=G0-10593
1436,tusC,G7713,https://biocyc.org/gene?orgid=ECOLI&id=G7713
1437,yagU,G6158,https://biocyc.org/gene?orgid=ECOLI&id=G6158
1438,rnpB,EG30069,https://biocyc.org/gene?orgid=ECOLI&id=EG30069
1439,rluF,EG11921,https://biocyc.org/gene?orgid=ECOLI&id=EG11921
1440,yhiM,EG12228,https://biocyc.org/gene?orgid=ECOLI&id=EG12228
1441,truB,EG11177,https://biocyc.org/gene?orgid=ECOLI&id=EG11177
1442,yggN,EG12705,https://biocyc.org/gene?orgid=ECOLI&id=EG12705
1443,rsmD,EG10343,https://biocyc.org/gene?orgid=ECOLI&id=EG10343
1444,cadA,EG10131,https://biocyc.org/gene?orgid=ECOLI&id=EG10131
1445,rsmI,G7641,https://biocyc.org/gene?orgid=ECOLI&id=G7641
1446,rluB,EG12433,https://biocyc.org/gene?orgid=ECOLI&id=EG12433
1447,alx,G7607,https://biocyc.org/gene?orgid=ECOLI&id=G7607
1448,trmB,EG11779,https://biocyc.org/gene?orgid=ECOLI&id=EG11779
1449,yiaV,EG12290,https://biocyc.org/gene?orgid=ECOLI&id=EG12290
1450,rsmH,EG11085,https://biocyc.org/gene?orgid=ECOLI&id=EG11085
1451,preT,G7145,https://biocyc.org/gene?orgid=ECOLI&id=G7145
1452,ybdK,G6326,https://biocyc.org/gene?orgid=ECOLI&id=G6326
1453,mgrB,G7002,https://biocyc.org/gene?orgid=ECOLI&id=G7002
1454,queF,G7452,https://biocyc.org/gene?orgid=ECOLI&id=G7452
1455,yhdE,EG11298,https://biocyc.org/gene?orgid=ECOLI&id=EG11298
1456,nanY,G7901,https://biocyc.org/gene?orgid=ECOLI&id=G7901
1457,ttcA,G6675,https://biocyc.org/gene?orgid=ECOLI&id=G6675
1458,ydeP,G6791,https://biocyc.org/gene?orgid=ECOLI&id=G6791
1459,hdeD,EG11495,https://biocyc.org/gene?orgid=ECOLI&id=EG11495
1460,nudF,EG12633,https://biocyc.org/gene?orgid=ECOLI&id=EG12633
1461,yfiC,EG11538,https://biocyc.org/gene?orgid=ECOLI&id=EG11538
1462,tesB,EG10995,https://biocyc.org/gene?orgid=ECOLI&id=EG10995
1463,nudE,G7740,https://biocyc.org/gene?orgid=ECOLI&id=G7740
1464,yfiH,EG12097,https://biocyc.org/gene?orgid=ECOLI&id=EG12097
1465,truD,G7422,https://biocyc.org/gene?orgid=ECOLI&id=G7422
1466,paaI,G6717,https://biocyc.org/gene?orgid=ECOLI&id=G6717
1467,yiaY,EG12293,https://biocyc.org/gene?orgid=ECOLI&id=EG12293
1468,hdeB,EG11399,https://biocyc.org/gene?orgid=ECOLI&id=EG11399
1469,rlmL,G6488,https://biocyc.org/gene?orgid=ECOLI&id=G6488
1470,agaI,G7636,https://biocyc.org/gene?orgid=ECOLI&id=G7636
1471,ycjM,G6647,https://biocyc.org/gene?orgid=ECOLI&id=G6647
1472,rlmA,EG12207,https://biocyc.org/gene?orgid=ECOLI&id=EG12207
1473,fsaB,EG11905,https://biocyc.org/gene?orgid=ECOLI&id=EG11905
1474,yqaB,G7408,https://biocyc.org/gene?orgid=ECOLI&id=G7408
1475,adiA,EG11501,https://biocyc.org/gene?orgid=ECOLI&id=EG11501
1476,tadA,EG11372,https://biocyc.org/gene?orgid=ECOLI&id=EG11372
1477,ghrA,G6539,https://biocyc.org/gene?orgid=ECOLI&id=G6539
1478,yieK,EG11728,https://biocyc.org/gene?orgid=ECOLI&id=EG11728
1479,yjbD,EG11922,https://biocyc.org/gene?orgid=ECOLI&id=EG11922
1480,queA,EG10812,https://biocyc.org/gene?orgid=ECOLI&id=EG10812
1481,yfaU,G7158,https://biocyc.org/gene?orgid=ECOLI&id=G7158
1482,fsaA,G6428,https://biocyc.org/gene?orgid=ECOLI&id=G6428
1483,asr,G6855,https://biocyc.org/gene?orgid=ECOLI&id=G6855
1484,rlmB,G7845,https://biocyc.org/gene?orgid=ECOLI&id=G7845
1485,yceF,EG11438,https://biocyc.org/gene?orgid=ECOLI&id=EG11438
1486,glsB,G6810,https://biocyc.org/gene?orgid=ECOLI&id=G6810
1487,iscS,G7325,https://biocyc.org/gene?orgid=ECOLI&id=G7325
1488,ycaK,EG12702,https://biocyc.org/gene?orgid=ECOLI&id=EG12702
1489,ycaC,EG11241,https://biocyc.org/gene?orgid=ECOLI&id=EG11241
1490,inaA,EG11422,https://biocyc.org/gene?orgid=ECOLI&id=EG11422
1491,miaB,G6364,https://biocyc.org/gene?orgid=ECOLI&id=G6364
1492,qorB,G7868,https://biocyc.org/gene?orgid=ECOLI&id=G7868
1493,ynbA,G6727,https://biocyc.org/gene?orgid=ECOLI&id=G6727
1494,yidX,EG11719,https://biocyc.org/gene?orgid=ECOLI&id=EG11719
1495,rluD,EG12098,https://biocyc.org/gene?orgid=ECOLI&id=EG12098
1496,yibQ,EG12298,https://biocyc.org/gene?orgid=ECOLI&id=EG12298
